Sno,IP,Status,Link,last_analysis_stats,Country,whois_date,Last_Modification_Date,AS_Owner
1,218.92.0.125,Malicious,https://www.virustotal.com/gui/ip-address/218.92.0.125/detection,"{'harmless': 61, 'malicious': 8, 'suspicious': 2, 'undetected': 19, 'timeout': 0}",China,2024-01-20 14:51:17,2024-02-15 13:42:59,Chinanet
2,122.180.21.165,Malicious,https://www.virustotal.com/gui/ip-address/122.180.21.165/detection,"{'harmless': 57, 'malicious': 11, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",India,2024-02-06 12:14:15,2024-02-15 14:42:37,"Bharti Airtel Ltd., Telemedia Services"
3,85.104.3.240,Malicious,https://www.virustotal.com/gui/ip-address/85.104.3.240/detection,"{'harmless': 56, 'malicious': 12, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",Turkey,2024-01-15 23:18:23,2024-02-15 01:09:34,Turk Telekom
4,120.221.212.160,Malicious,https://www.virustotal.com/gui/ip-address/120.221.212.160/detection,"{'harmless': 56, 'malicious': 12, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",China,2024-02-06 13:47:23,2024-02-15 13:43:55,"China Mobile Communications Group Co., Ltd."
5,180.101.88.252,Malicious,https://www.virustotal.com/gui/ip-address/180.101.88.252/detection,"{'harmless': 58, 'malicious': 10, 'suspicious': 2, 'undetected': 20, 'timeout': 0}",China,2024-02-15 12:14:35,2024-02-15 12:14:35,Chinanet
6,212.70.149.150,Malicious,https://www.virustotal.com/gui/ip-address/212.70.149.150/detection,"{'harmless': 50, 'malicious': 18, 'suspicious': 1, 'undetected': 20, 'timeout': 0}",Bulgaria,2024-01-07 11:47:34,2024-01-25 10:06:04,SS-Net
7,141.98.11.187,Malicious,https://www.virustotal.com/gui/ip-address/141.98.11.187/detection,"{'harmless': 63, 'malicious': 3, 'suspicious': 0, 'undetected': 23, 'timeout': 0}",Lithuania,2024-01-11 11:48:49,2024-01-21 11:47:42,UAB Host Baltic
8,61.81.4.98,Malicious,https://www.virustotal.com/gui/ip-address/61.81.4.98/detection,"{'harmless': 57, 'malicious': 9, 'suspicious': 2, 'undetected': 21, 'timeout': 0}",South Korea,2024-01-17 05:12:21,2024-01-23 23:20:10,Korea Telecom
9,49.161.173.16,Malicious,https://www.virustotal.com/gui/ip-address/49.161.173.16/detection,"{'harmless': 54, 'malicious': 13, 'suspicious': 0, 'undetected': 22, 'timeout': 0}",South Korea,2024-01-07 11:55:33,2024-01-23 11:50:01,LG POWERCOMM
10,180.150.243.126,Malicious,https://www.virustotal.com/gui/ip-address/180.150.243.126/detection,"{'harmless': 57, 'malicious': 11, 'suspicious': 1, 'undetected': 20, 'timeout': 0}",India,2023-12-22 17:08:19,2024-01-20 14:48:33,Ishans Network
11,85.209.11.227,Malicious,https://www.virustotal.com/gui/ip-address/85.209.11.227/detection,"{'harmless': 52, 'malicious': 14, 'suspicious': 2, 'undetected': 21, 'timeout': 0}",Russia,2024-01-07 11:48:03,2024-01-25 09:06:09,Chang Way Technologies Co. Limited
12,65.20.135.58,Malicious,https://www.virustotal.com/gui/ip-address/65.20.135.58/detection,"{'harmless': 61, 'malicious': 6, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",Iraq,2023-12-20 19:08:14,2024-01-18 02:29:08,Hulum Almustakbal Company for Communication Engineering and Services Ltd
13,51.162.190.161,Malicious,https://www.virustotal.com/gui/ip-address/51.162.190.161/detection,"{'harmless': 53, 'malicious': 15, 'suspicious': 1, 'undetected': 20, 'timeout': 0}",United Kingdom,2024-01-07 11:49:24,2024-01-25 09:06:09,Equinix Korea LLC
14,94.232.47.231,Clean,https://www.virustotal.com/gui/ip-address/94.232.47.231/detection,"{'harmless': 64, 'malicious': 0, 'suspicious': 0, 'undetected': 25, 'timeout': 0}",Russia,2024-01-19 10:25:21,2024-01-25 08:42:17,Kontel LLC
15,65.20.249.33,Malicious,https://www.virustotal.com/gui/ip-address/65.20.249.33/detection,"{'harmless': 59, 'malicious': 8, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",Iraq,2024-01-20 07:58:36,2024-01-23 11:50:13,Hulum Almustakbal Company for Communication Engineering and Services Ltd
16,109.9.145.207,Malicious,https://www.virustotal.com/gui/ip-address/109.9.145.207/detection,"{'harmless': 58, 'malicious': 9, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",France,2024-01-10 07:23:54,2024-01-25 09:06:12,Societe Francaise Du Radiotelephone - SFR SA
17,223.84.253.7,Malicious,https://www.virustotal.com/gui/ip-address/223.84.253.7/detection,"{'harmless': 56, 'malicious': 11, 'suspicious': 2, 'undetected': 20, 'timeout': 0}",China,2024-01-15 04:21:11,2024-01-25 10:06:15,"China Mobile Communications Group Co., Ltd."
18,45.129.14.220,Malicious,https://www.virustotal.com/gui/ip-address/45.129.14.220/detection,"{'harmless': 64, 'malicious': 3, 'suspicious': 0, 'undetected': 22, 'timeout': 0}",Romania,2023-12-28 05:32:57,2024-01-11 11:43:42,BtHoster LTD
19,193.233.241.254,Malicious,https://www.virustotal.com/gui/ip-address/193.233.241.254/detection,"{'harmless': 59, 'malicious': 7, 'suspicious': 1, 'undetected': 22, 'timeout': 0}",Russia,2024-01-16 12:43:06,2024-01-23 04:40:16,VNET LLC
20,190.78.194.81,Malicious,https://www.virustotal.com/gui/ip-address/190.78.194.81/detection,"{'harmless': 63, 'malicious': 2, 'suspicious': 0, 'undetected': 24, 'timeout': 0}",Venezuela,2024-01-23 10:10:04,2024-01-23 10:10:06,"CANTV Servicios, Venezuela"
21,8.242.185.1,Malicious,https://www.virustotal.com/gui/ip-address/8.242.185.1/detection,"{'harmless': 57, 'malicious': 11, 'suspicious': 1, 'undetected': 20, 'timeout': 0}",Colombia,2024-01-14 13:41:46,2024-01-25 10:07:02,LEGON TELECOMUNICACIONES SAS
22,143.55.94.40,Malicious,https://www.virustotal.com/gui/ip-address/143.55.94.40/detection,"{'harmless': 57, 'malicious': 9, 'suspicious': 2, 'undetected': 21, 'timeout': 0}",United States,2023-12-31 11:59:58,2024-01-23 11:48:52,PLUMAS-SIERRA-TELECOMMUNICATIONS
23,94.232.47.233,Clean,https://www.virustotal.com/gui/ip-address/94.232.47.233/detection,"{'harmless': 65, 'malicious': 0, 'suspicious': 0, 'undetected': 24, 'timeout': 0}",Russia,2024-01-18 19:14:31,2024-01-24 20:34:30,Kontel LLC
24,165.90.110.166,Malicious,https://www.virustotal.com/gui/ip-address/165.90.110.166/detection,"{'harmless': 61, 'malicious': 6, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",Cape Verde,2024-01-08 10:24:30,2024-01-25 09:05:54,CV-Multimedia
25,83.191.168.90,Malicious,https://www.virustotal.com/gui/ip-address/83.191.168.90/detection,"{'harmless': 57, 'malicious': 10, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",Sweden,2024-01-23 04:15:48,2024-01-25 01:56:08,Tele2 SWIPnet
26,190.107.30.118,Malicious,https://www.virustotal.com/gui/ip-address/190.107.30.118/detection,"{'harmless': 56, 'malicious': 11, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",Colombia,2023-12-31 11:48:36,2024-01-25 08:22:40,Media Commerce Partners S.A
27,210.66.77.5,Malicious,https://www.virustotal.com/gui/ip-address/210.66.77.5/detection,"{'harmless': 55, 'malicious': 14, 'suspicious': 1, 'undetected': 19, 'timeout': 0}",Taiwan,2023-12-29 17:33:21,2024-01-25 09:06:13,Digital United Inc.
28,181.233.140.250,Malicious,https://www.virustotal.com/gui/ip-address/181.233.140.250/detection,"{'harmless': 57, 'malicious': 12, 'suspicious': 1, 'undetected': 19, 'timeout': 0}",Brazil,2024-01-21 11:53:11,2024-01-24 12:37:42,PROVEDOR SUPERCELL NET
29,219.76.188.180,Malicious,https://www.virustotal.com/gui/ip-address/219.76.188.180/detection,"{'harmless': 55, 'malicious': 13, 'suspicious': 1, 'undetected': 20, 'timeout': 0}",Hong Kong,2024-01-16 11:49:15,2024-01-25 09:06:14,HKT Limited
30,58.27.241.10,Malicious,https://www.virustotal.com/gui/ip-address/58.27.241.10/detection,"{'harmless': 57, 'malicious': 10, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",Pakistan,2024-01-20 17:03:54,2024-01-25 09:06:05,National WiMAXIMS environment
31,103.175.77.7,Malicious,https://www.virustotal.com/gui/ip-address/103.175.77.7/detection,"{'harmless': 57, 'malicious': 10, 'suspicious': 1, 'undetected': 21, 'timeout': 0}",India,2024-01-21 08:18:53,2024-01-25 09:05:53,ELXIRE DATA SERVICES PVT. LTD.
32,2.68.147.113,Clean,https://www.virustotal.com/gui/ip-address/2.68.147.113/detection,"{'harmless': 0, 'malicious': 0, 'suspicious': 0, 'undetected': 89, 'timeout': 0}",Sweden,2020-11-28 08:09:42,2020-11-28 08:09:42,Hi3G Access AB
